assetID,lat,lon,vs30,value,vulnModel,censusTract,occType,occupancy,strType,designLevel,hazus
0,38.2949139,-122.0506429,360,174.5,S1L-h-AGR1-DF,6095252311,AGR,AGR1,S1L,HC,S1L-HC-AGR1
1,38.2949139,-122.0506429,360,174.5,W1-h-AGR1-DF,6095252311,AGR,AGR1,W1,HC,W1-HC-AGR1
2,38.2949139,-122.0506429,360,151.19,C2L-h-COM1-DF,6095252311,COM,COM1,C2L,HC,C2L-HC-COM1
3,38.2949139,-122.0506429,360,145.375,RM1L-h-COM1-DF,6095252311,COM,COM1,RM1L,HC,RM1L-HC-COM1
4,38.2949139,-122.0506429,360,436.125,RM2L-h-COM1-DF,6095252311,COM,COM1,RM2L,HC,RM2L-HC-COM1
5,38.2949139,-122.0506429,360,430.31,W1-h-COM1-DF,6095252311,COM,COM1,W1,HC,W1-HC-COM1
6,38.2949139,-122.0506429,360,2403.29,RM2L-h-COM2-DF,6095252311,COM,COM2,RM2L,HC,RM2L-HC-COM2
7,38.2949139,-122.0506429,360,1183.71,S3-h-COM2-DF,6095252311,COM,COM2,S3,HC,S3-HC-COM2
8,38.2949139,-122.0506429,360,190.23,C2L-h-COM3-DF,6095252311,COM,COM3,C2L,HC,C2L-HC-COM3
9,38.2949139,-122.0506429,360,184.635,PC1-h-COM3-DF,6095252311,COM,COM3,PC1,HC,PC1-HC-COM3
10,38.2949139,-122.0506429,360,184.635,PC2L-h-COM3-DF,6095252311,COM,COM3,PC2L,HC,PC2L-HC-COM3
11,38.2949139,-122.0506429,360,186.5,S3-h-COM3-DF,6095252311,COM,COM3,S3,HC,S3-HC-COM3
12,38.2949139,-122.0506429,360,1094.46,C1L-h-COM4-DF,6095252311,COM,COM4,C1L,HC,C1L-HC-COM4
13,38.2949139,-122.0506429,360,1062.27,PC1-h-COM4-DF,6095252311,COM,COM4,PC1,HC,PC1-HC-COM4
14,38.2949139,-122.0506429,360,1062.27,PC2L-h-COM4-DF,6095252311,COM,COM4,PC2L,HC,PC2L-HC-COM4
15,38.2949139,-122.0506429,360,1086.412,RM1L-h-COM4-DF,6095252311,COM,COM4,RM1L,HC,RM1L-HC-COM4
16,38.2949139,-122.0506429,360,3259.238,RM2L-h-COM4-DF,6095252311,COM,COM4,RM2L,HC,RM2L-HC-COM4
17,38.2949139,-122.0506429,360,1046.175,S1L-h-COM4-DF,6095252311,COM,COM4,S1L,HC,S1L-HC-COM4
18,38.2949139,-122.0506429,360,1046.175,S2L-h-COM4-DF,6095252311,COM,COM4,S2L,HC,S2L-HC-COM4
19,38.2949139,-122.0506429,360,3219,W1-h-COM4-DF,6095252311,COM,COM4,W1,HC,W1-HC-COM4
20,38.2949139,-122.0506429,360,3219,W2-h-COM4-DF,6095252311,COM,COM4,W2,HC,W2-HC-COM4
21,38.2949139,-122.0506429,360,2204.58,C2L-h-COM7-DF,6095252311,COM,COM7,C2L,HC,C2L-HC-COM7
22,38.2949139,-122.0506429,360,1469.72,RM1L-h-COM7-DF,6095252311,COM,COM7,RM1L,HC,RM1L-HC-COM7
23,38.2949139,-122.0506429,360,734.86,S1L-h-COM7-DF,6095252311,COM,COM7,S1L,HC,S1L-HC-COM7
24,38.2949139,-122.0506429,360,6088.84,W1-h-COM7-DF,6095252311,COM,COM7,W1,HC,W1-HC-COM7
25,38.2949139,-122.0506429,360,325,RM2L-h-COM8-DF,6095252311,COM,COM8,RM2L,HC,RM2L-HC-COM8
26,38.2949139,-122.0506429,360,36211,W2-h-EDU1-DF,6095252311,EDU,EDU1,W2,HS,W2-HS-EDU1
27,38.2949139,-122.0506429,360,296,W1-h-GOV1-DF,6095252311,GOV,GOV1,W1,HC,W1-HC-GOV1
28,38.2949139,-122.0506429,360,810.9009,PC1-h-IND6-DF,6095252311,IND,IND6,PC1,HC,PC1-HC-IND6
29,38.2949139,-122.0506429,360,399.399,PC2L-h-IND6-DF,6095252311,IND,IND6,PC2L,HC,PC2L-HC-IND6
30,38.2949139,-122.0506429,360,414.05,RM1L-h-IND6-DF,6095252311,IND,IND6,RM1L,HC,RM1L-HC-IND6
31,38.2949139,-122.0506429,360,796.25,S3-h-IND6-DF,6095252311,IND,IND6,S3,HC,S3-HC-IND6
32,38.2949139,-122.0506429,360,764.4,W1-h-IND6-DF,6095252311,IND,IND6,W1,HC,W1-HC-IND6
33,38.2949139,-122.0506429,360,339,C2L-h-REL1-DF,6095252311,REL,REL1,C2L,HC,C2L-HC-REL1
34,38.2949139,-122.0506429,360,836051.1,W1-h-RES1-DF,6095252311,RES,RES1,W1,HC,W1-HC-RES1
35,38.2949139,-122.0506429,360,8444.96,W1-m-RES1-DF,6095252311,RES,RES1,W1,MC,W1-MC-RES1
36,38.2949139,-122.0506429,360,4818.3,PC2L-h-RES3AF-DF,6095252311,RES,RES3D,PC2L,HC,PC2L-HC-RES3
37,38.2949139,-122.0506429,360,43364.7,W2-h-RES3AF-DF,6095252311,RES,RES3D,W2,HC,W2-HC-RES3
38,38.2949139,-122.0506429,360,5258.76,C2L-h-RES3AF-DF,6095252311,RES,RES3E,C2L,HC,C2L-HC-RES3
39,38.2949139,-122.0506429,360,5258.76,S3-h-RES3AF-DF,6095252311,RES,RES3E,S3,HC,S3-HC-RES3
40,38.2949139,-122.0506429,360,29934.48,W2-h-RES3AF-DF,6095252311,RES,RES3E,W2,HC,W2-HC-RES3
41,33.6806028,-117.2811199,360,299,W1-h-AGR1-DF,6065042748,AGR,AGR1,W1,HC,W1-HC-AGR1
42,33.6806028,-117.2811199,360,529.25,RM1L-h-COM1-DF,6065042748,COM,COM1,RM1L,HC,RM1L-HC-COM1
43,33.6806028,-117.2811199,360,529.25,RM2L-h-COM1-DF,6065042748,COM,COM1,RM2L,HC,RM2L-HC-COM1
44,33.6806028,-117.2811199,360,529.25,W1-h-COM1-DF,6065042748,COM,COM1,W1,HC,W1-HC-COM1
45,33.6806028,-117.2811199,360,529.25,W2-h-COM1-DF,6065042748,COM,COM1,W2,HC,W2-HC-COM1
46,33.6806028,-117.2811199,360,1840,W1-h-COM2-DF,6065042748,COM,COM2,W1,HC,W1-HC-COM2
47,33.6806028,-117.2811199,360,450.38,RM2L-h-COM3-DF,6065042748,COM,COM3,RM2L,HC,RM2L-HC-COM3
48,33.6806028,-117.2811199,360,2766.62,W1-h-COM3-DF,6065042748,COM,COM3,W1,HC,W1-HC-COM3
49,33.6806028,-117.2811199,360,18190.26,W1-h-COM4-DF,6065042748,COM,COM4,W1,HC,W1-HC-COM4
50,33.6806028,-117.2811199,360,1378.05,W1-m-COM4-DF,6065042748,COM,COM4,W1,MC,W1-MC-COM4
