assetID,lat,lon,vs30,value,vulnModel,censusTract,occType,occupancy,strType,designLevel
0,38.2949139,-122.0506429,360,174.5,S1L-h-AGR1-DF,06095252311,AGR,AGR1,S1L,HC
1,38.2949139,-122.0506429,360,174.5,W1-h-AGR1-DF,06095252311,AGR,AGR1,W1,HC
2,38.2949139,-122.0506429,360,151.19,C2L-h-COM1-DF,06095252311,COM,COM1,C2L,HC
3,38.2949139,-122.0506429,360,145.375,RM1L-h-COM1-DF,06095252311,COM,COM1,RM1L,HC
4,38.2949139,-122.0506429,360,436.125,RM2L-h-COM1-DF,06095252311,COM,COM1,RM2L,HC
41,33.6806028,-117.2811199,360,299.0,W1-h-AGR1-DF,06065042748,AGR,AGR1,W1,HC
42,33.6806028,-117.2811199,360,529.25,RM1L-h-COM1-DF,06065042748,COM,COM1,RM1L,HC
43,33.6806028,-117.2811199,360,529.25,RM2L-h-COM1-DF,06065042748,COM,COM1,RM2L,HC
44,33.6806028,-117.2811199,360,529.25,W1-h-COM1-DF,06065042748,COM,COM1,W1,HC
45,33.6806028,-117.2811199,360,529.25,W2-h-COM1-DF,06065042748,COM,COM1,W2,HC
67,39.2634436,-121.5062545,360,887.51,C2L-m-AGR1-DF,06115041001,AGR,AGR1,C2L,MC
68,39.2634436,-121.5062545,360,887.51,PC1-m-AGR1-DF,06115041001,AGR,AGR1,PC1,MC
69,39.2634436,-121.5062545,360,921.645,RM1L-m-AGR1-DF,06115041001,AGR,AGR1,RM1L,MC
70,39.2634436,-121.5062545,360,1843.29,RM2L-m-AGR1-DF,06115041001,AGR,AGR1,RM2L,MC
71,39.2634436,-121.5062545,360,901.164,S1L-m-AGR1-DF,06115041001,AGR,AGR1,S1L,MC
174,37.5814599,-122.3897966,360,1904.555,C2L-m-COM1-DF,06081605000,COM,COM1,C2L,MC
175,37.5814599,-122.3897966,360,952.2775,C2M-m-COM1-DF,06081605000,COM,COM1,C2M,MC
176,37.5814599,-122.3897966,360,952.2775,PC1-m-COM1-DF,06081605000,COM,COM1,PC1,MC
177,37.5814599,-122.3897966,360,1455.368,RM1L-m-COM1-DF,06081605000,COM,COM1,RM1L,MC
178,37.5814599,-122.3897966,360,485.1225,RM2L-m-COM1-DF,06081605000,COM,COM1,RM2L,MC
308,34.2638082,-119.2056347,360,106.0,RM2L-m-COM1-DF,06111001511,COM,COM1,RM2L,MC
309,34.2638082,-119.2056347,360,73.0,S1L-m-COM10-DF,06111001511,COM,COM10,S1L,MC
310,34.2638082,-119.2056347,360,922.0,PC1-m-COM2-DF,06111001511,COM,COM2,PC1,MC
311,34.2638082,-119.2056347,360,347.73,C2L-m-COM3-DF,06111001511,COM,COM3,C2L,MC
312,34.2638082,-119.2056347,360,347.73,PC1-m-COM3-DF,06111001511,COM,COM3,PC1,MC
