assetID,lat,lon,vs30,value,vulnModel,censusTract,occType,occupancy,strType,designLevel,occ,designlevel
35,38.2949139,-122.0506429,360,8444.96,W1-m-RES1-DF,06095252311,RES,RES1,W1,MC,RES1,m
63,33.6806028,-117.2811199,360,52678.0,W1-m-RES1-DF,06065042748,RES,RES1,W1,MC,RES1,m
151,39.2634436,-121.5062545,360,299836.8,W1-m-RES1-DF,06115041001,RES,RES1,W1,MC,RES1,m
272,37.5814599,-122.3897966,360,1281359.0,W1-m-RES1-DF,06081605000,RES,RES1,W1,MC,RES1,m
339,34.2638082,-119.2056347,360,56869.8,W1-m-RES1-DF,06111001511,RES,RES1,W1,MC,RES1,m
392,36.921837,-121.7774079,360,14001.57,W1-m-RES1-DF,06087110506,RES,RES1,W1,MC,RES1,m
421,34.0145285,-118.2980282,360,26052.79,W1-m-RES1-DF,06037231210,RES,RES1,W1,MC,RES1,m
489,35.3024984,-119.0250417,360,32188.28,W1-m-RES1-DF,06029003137,RES,RES1,W1,MC,RES1,m
561,33.6638248,-117.6150118,360,100111.0,W1-m-RES1-DF,06059032049,RES,RES1,W1,MC,RES1,m
720,36.6523126,-119.8133073,360,270706.6,W1-m-RES1-DF,06019001800,RES,RES1,W1,MC,RES1,m
757,37.5773823,-122.0746665,360,367315.5,W1-m-RES1-DF,06001440305,RES,RES1,W1,MC,RES1,m
803,33.797319,-116.403939,360,8556.41,W1-m-RES1-DF,06065044921,RES,RES1,W1,MC,RES1,m
848,33.8432785,-118.1162992,360,485533.0,W1-m-RES1-DF,06037571101,RES,RES1,W1,MC,RES1,m
927,34.1029152,-117.8678976,360,320603.9,W1-m-RES1-DF,06037403801,RES,RES1,W1,MC,RES1,m
1047,37.6969031,-121.8651217,360,328616.3,W1-m-RES1-DF,06001450744,RES,RES1,W1,MC,RES1,m
1092,37.3835982,-121.8497624,360,180485.4,W1-m-RES1-DF,06085503803,RES,RES1,W1,MC,RES1,m
1179,34.2206887,-118.2400494,360,228367.2,W1-m-RES1-DF,06037300501,RES,RES1,W1,MC,RES1,m
1362,34.1623874,-118.2865467,360,69173.35,W1-m-RES1-DF,06037301601,RES,RES1,W1,MC,RES1,m
1504,39.3331714,-122.898708,360,206861.1,W1-m-RES1-DF,06033000100,RES,RES1,W1,MC,RES1,m
1596,37.7054323,-121.8611962,360,56007.6,W1-m-RES1-DF,06001450750,RES,RES1,W1,MC,RES1,m
1684,38.2692695,-122.30278,360,234882.4,W1-m-RES1-DF,06055200802,RES,RES1,W1,MC,RES1,m
1775,38.4777349,-121.432773,360,135797.0,W1-m-RES1-DF,06067004909,RES,RES1,W1,MC,RES1,m
2003,37.3584207,-122.0797124,360,1159975.0,W1-m-RES1-DF,06085510001,RES,RES1,W1,MC,RES1,m
2074,34.0663578,-117.9188723,360,415618.2,W1-m-RES1-DF,06037406500,RES,RES1,W1,MC,RES1,m
2146,32.8465129,-116.8973197,360,175499.8,W1-m-RES1-DF,06073016811,RES,RES1,W1,MC,RES1,m
2362,32.8149599,-116.9711545,360,86212.82,W1-m-RES1-DF,06073016202,RES,RES1,W1,MC,RES1,m
2417,34.2699733,-118.753251,360,307469.9,W1-m-RES1-DF,06111008001,RES,RES1,W1,MC,RES1,m
2493,37.8866878,-122.2949826,360,164432.2,W1-m-RES1-DF,06001420500,RES,RES1,W1,MC,RES1,m
2611,37.8819398,-122.2701842,360,148157.8,W1-m-RES1-DF,06001421700,RES,RES1,W1,MC,RES1,m
2727,34.028274,-118.1114285,360,269762.1,W1-m-RES1-DF,06037530005,RES,RES1,W1,MC,RES1,m
2765,38.3417498,-121.9660442,360,98370.0,W1-m-RES1-DF,06095253106,RES,RES1,W1,MC,RES1,m
2829,33.8569402,-118.1809849,360,113876.0,W1-m-RES1-DF,06037570601,RES,RES1,W1,MC,RES1,m
2875,33.9440441,-118.1559843,360,149850.4,W1-m-RES1-DF,06037551401,RES,RES1,W1,MC,RES1,m
2919,33.0785891,-117.0160101,360,38123.28,W1-m-RES1-DF,06073020710,RES,RES1,W1,MC,RES1,m
2944,33.549813,-117.1642747,360,47067.23,W1-m-RES1-DF,06065050502,RES,RES1,W1,MC,RES1,m
3067,33.5727476,-117.6651142,360,303615.2,W1-m-RES1-DF,06059032013,RES,RES1,W1,MC,RES1,m
3157,33.9864059,-118.2520926,360,35370.16,W1-m-RES1-DF,06037532800,RES,RES1,W1,MC,RES1,m
3212,33.7975374,-117.9020092,360,51409.92,W1-m-RES1-DF,06059087504,RES,RES1,W1,MC,RES1,m
3341,32.5996071,-117.0958443,360,134827.6,W1-m-RES1-DF,06073010103,RES,RES1,W1,MC,RES1,m
3437,32.6067804,-117.0642137,360,65361.83,W1-m-RES1-DF,06073013203,RES,RES1,W1,MC,RES1,m
3509,33.0084433,-117.116997,360,9260.42,W1-m-RES1-DF,06073017070,RES,RES1,W1,MC,RES1,m
3549,33.971185,-118.2216728,360,74724.21,W1-m-RES1-DF,06037534802,RES,RES1,W1,MC,RES1,m
3607,33.9393795,-118.0348881,360,216313.8,W1-m-RES1-DF,06037503202,RES,RES1,W1,MC,RES1,m
