assetID,lat,lon,vs30,fragilityModel,age,site
BR1,33.59285,-116.9253,760,LJB1,42.3,Benton Road
BS1,33.8975,-116.98592,760,LJB1,4.7,Beaumont South
BS2,33.89654,-116.9847,760,LJB1,5.7,Beaumont South
GV1,34.27813,-117.23254,760,LJB1,7.3,Grass Valley
GV2,34.27878,-117.2471,760,LJB1,17.6,Grass Valley
LB05,34.5973,-117.8672,760,LJB1,28.5,Lovejoy Buttes
LJ1,34.59448,-117.85328,760,LJB1,9.9,Lovejoy Buttes
LJ5,34.59454,-117.85199,760,LJB1,49.8,Lovejoy Buttes
LJB1,34.60352,-117.85754,760,LJB1,10.5,Lovejoy Buttes
LJB2,34.60316,-117.85705,760,LJB1,14,Lovejoy Buttes
MR1,33.80942,-117.25282,760,LJB1,1.3,Motte Rimrock
PC1,34.38603,-118.04983,760,LJB1,22.9,Pacifico Crest
PI1,34.30546,-117.2267,760,LJB1,11.4,The Pinnacles
PI2,34.29855,-117.21806,760,LJB1,4,The Pinnacles
PNT01,34.13845,-116.47844,760,LJB1,9.4,Pioneertown
PP1,33.78798,-117.24377,760,LJB1,26.5,Perris
RT1,33.5207,-116.90687,760,LJB1,38.3,Roundtop
SW02,34.29688,-117.33979,760,LJB1,1.5,Silverwood Lake
UCR1,33.96516,-117.3201,760,LJB1,12.4,UC Riverside
YV1,34.11756,-116.50897,760,LJB1,1.8,Yucca Valley
