AssetID,Latitude,Longitude,Vs30,Value,Vulnerability,occupancy,strType,occType,designLevel,censusTract,ExpectedLoss
"0",38.294914,-122.050643,360,174.50,"S1L-h-AGR1-DF","AGR1","S1L","AGR","HC","6095252311",NaN
"1",38.294914,-122.050643,360,174.50,"W1-h-AGR1-DF","AGR1","W1","AGR","HC","6095252311",NaN
"2",38.294914,-122.050643,360,151.19,"C2L-h-COM1-DF","COM1","C2L","COM","HC","6095252311",NaN
"3",38.294914,-122.050643,360,145.38,"RM1L-h-COM1-DF","COM1","RM1L","COM","HC","6095252311",NaN
"4",38.294914,-122.050643,360,436.13,"RM2L-h-COM1-DF","COM1","RM2L","COM","HC","6095252311",NaN
"5",38.294914,-122.050643,360,430.31,"W1-h-COM1-DF","COM1","W1","COM","HC","6095252311",NaN
"6",38.294914,-122.050643,360,2403.29,"RM2L-h-COM2-DF","COM2","RM2L","COM","HC","6095252311",NaN
"7",38.294914,-122.050643,360,1183.71,"S3-h-COM2-DF","COM2","S3","COM","HC","6095252311",NaN
"8",38.294914,-122.050643,360,190.23,"C2L-h-COM3-DF","COM3","C2L","COM","HC","6095252311",NaN
"9",38.294914,-122.050643,360,184.64,"PC1-h-COM3-DF","COM3","PC1","COM","HC","6095252311",NaN
"10",38.294914,-122.050643,360,184.64,"PC2L-h-COM3-DF","COM3","PC2L","COM","HC","6095252311",NaN
"11",38.294914,-122.050643,360,186.50,"S3-h-COM3-DF","COM3","S3","COM","HC","6095252311",NaN
"12",38.294914,-122.050643,360,1094.46,"C1L-h-COM4-DF","COM4","C1L","COM","HC","6095252311",NaN
"13",38.294914,-122.050643,360,1062.27,"PC1-h-COM4-DF","COM4","PC1","COM","HC","6095252311",NaN
"14",38.294914,-122.050643,360,1062.27,"PC2L-h-COM4-DF","COM4","PC2L","COM","HC","6095252311",NaN
"15",38.294914,-122.050643,360,1086.41,"RM1L-h-COM4-DF","COM4","RM1L","COM","HC","6095252311",NaN
"16",38.294914,-122.050643,360,3259.24,"RM2L-h-COM4-DF","COM4","RM2L","COM","HC","6095252311",NaN
"17",38.294914,-122.050643,360,1046.18,"S1L-h-COM4-DF","COM4","S1L","COM","HC","6095252311",NaN
"18",38.294914,-122.050643,360,1046.18,"S2L-h-COM4-DF","COM4","S2L","COM","HC","6095252311",NaN
"19",38.294914,-122.050643,360,3219.00,"W1-h-COM4-DF","COM4","W1","COM","HC","6095252311",NaN
"20",38.294914,-122.050643,360,3219.00,"W2-h-COM4-DF","COM4","W2","COM","HC","6095252311",NaN
"21",38.294914,-122.050643,360,2204.58,"C2L-h-COM7-DF","COM7","C2L","COM","HC","6095252311",NaN
"22",38.294914,-122.050643,360,1469.72,"RM1L-h-COM7-DF","COM7","RM1L","COM","HC","6095252311",NaN
"23",38.294914,-122.050643,360,734.86,"S1L-h-COM7-DF","COM7","S1L","COM","HC","6095252311",NaN
"24",38.294914,-122.050643,360,6088.84,"W1-h-COM7-DF","COM7","W1","COM","HC","6095252311",NaN
"25",38.294914,-122.050643,360,325.00,"RM2L-h-COM8-DF","COM8","RM2L","COM","HC","6095252311",NaN
"26",38.294914,-122.050643,360,36211.00,"W2-h-EDU1-DF","EDU1","W2","EDU","HS","6095252311",NaN
"27",38.294914,-122.050643,360,296.00,"W1-h-GOV1-DF","GOV1","W1","GOV","HC","6095252311",NaN
"28",38.294914,-122.050643,360,810.90,"PC1-h-IND6-DF","IND6","PC1","IND","HC","6095252311",NaN
"29",38.294914,-122.050643,360,399.40,"PC2L-h-IND6-DF","IND6","PC2L","IND","HC","6095252311",NaN
"30",38.294914,-122.050643,360,414.05,"RM1L-h-IND6-DF","IND6","RM1L","IND","HC","6095252311",NaN
"31",38.294914,-122.050643,360,796.25,"S3-h-IND6-DF","IND6","S3","IND","HC","6095252311",NaN
"32",38.294914,-122.050643,360,764.40,"W1-h-IND6-DF","IND6","W1","IND","HC","6095252311",NaN
"33",38.294914,-122.050643,360,339.00,"C2L-h-REL1-DF","REL1","C2L","REL","HC","6095252311",NaN
"34",38.294914,-122.050643,360,836051.10,"W1-h-RES1-DF","RES1","W1","RES","HC","6095252311",NaN
"35",38.294914,-122.050643,360,8444.96,"W1-m-RES1-DF","RES1","W1","RES","MC","6095252311",NaN
"36",38.294914,-122.050643,360,4818.30,"PC2L-h-RES3AF-DF","RES3D","PC2L","RES","HC","6095252311",NaN
"37",38.294914,-122.050643,360,43364.70,"W2-h-RES3AF-DF","RES3D","W2","RES","HC","6095252311",NaN
"38",38.294914,-122.050643,360,5258.76,"C2L-h-RES3AF-DF","RES3E","C2L","RES","HC","6095252311",NaN
"39",38.294914,-122.050643,360,5258.76,"S3-h-RES3AF-DF","RES3E","S3","RES","HC","6095252311",NaN
"40",38.294914,-122.050643,360,29934.48,"W2-h-RES3AF-DF","RES3E","W2","RES","HC","6095252311",NaN
"41",33.680603,-117.281120,360,299.00,"W1-h-AGR1-DF","AGR1","W1","AGR","HC","6065042748",NaN
"42",33.680603,-117.281120,360,529.25,"RM1L-h-COM1-DF","COM1","RM1L","COM","HC","6065042748",NaN
"43",33.680603,-117.281120,360,529.25,"RM2L-h-COM1-DF","COM1","RM2L","COM","HC","6065042748",NaN
"44",33.680603,-117.281120,360,529.25,"W1-h-COM1-DF","COM1","W1","COM","HC","6065042748",NaN
"45",33.680603,-117.281120,360,529.25,"W2-h-COM1-DF","COM1","W2","COM","HC","6065042748",NaN
"46",33.680603,-117.281120,360,1840.00,"W1-h-COM2-DF","COM2","W1","COM","HC","6065042748",NaN
"47",33.680603,-117.281120,360,450.38,"RM2L-h-COM3-DF","COM3","RM2L","COM","HC","6065042748",NaN
"48",33.680603,-117.281120,360,2766.62,"W1-h-COM3-DF","COM3","W1","COM","HC","6065042748",NaN
"49",33.680603,-117.281120,360,18190.26,"W1-h-COM4-DF","COM4","W1","COM","HC","6065042748",NaN
"50",33.680603,-117.281120,360,1378.05,"W1-m-COM4-DF","COM4","W1","COM","MC","6065042748",NaN
"51",33.680603,-117.281120,360,7992.69,"W2-h-COM4-DF","COM4","W2","COM","HC","6065042748",NaN
"52",33.680603,-117.281120,360,1643.00,"W1-h-COM5-DF","COM5","W1","COM","HC","6065042748",NaN
"53",33.680603,-117.281120,360,2235.00,"W1-h-COM7-DF","COM7","W1","COM","HC","6065042748",NaN
"54",33.680603,-117.281120,360,1419.00,"S2L-h-COM8-DF","COM8","S2L","COM","HC","6065042748",NaN
"55",33.680603,-117.281120,360,1419.00,"W2-h-COM8-DF","COM8","W2","COM","HC","6065042748",NaN
"56",33.680603,-117.281120,360,191.00,"S3-h-GOV1-DF","GOV1","S3","GOV","HC","6065042748",NaN
