GroupField,GroupValue,NumAssets,TotalValue,TotalExpectedLoss,AvgExpectedLoss,MinExpectedLoss,MaxExpectedLoss,StdDevExpectedLoss
"censusTract","6081605000",134,2402670.48,NaN,NaN,NaN,NaN,NaN
"censusTract","6037231210",45,232222.99,NaN,NaN,NaN,NaN,NaN
"censusTract","6115041001",107,905440.99,NaN,NaN,NaN,NaN,NaN
"censusTract","6087110506",57,316734.98,NaN,NaN,NaN,NaN,NaN
"censusTract","6029003137",46,283251.98,NaN,NaN,NaN,NaN,NaN
"censusTract","6111001511",45,227472.01,NaN,NaN,NaN,NaN,NaN
"censusTract","6095252311",41,1005925.06,NaN,NaN,NaN,NaN,NaN
"censusTract","6065042748",26,1109418.00,NaN,NaN,NaN,NaN,NaN
"occType","COM",224,912334.99,NaN,NaN,NaN,NaN,NaN
"occType","RES",156,4932943.50,NaN,NaN,NaN,NaN,NaN
"occType","EDU",12,169812.00,NaN,NaN,NaN,NaN,NaN
"occType","REL",17,58142.00,NaN,NaN,NaN,NaN,NaN
"occType","AGR",15,14848.00,NaN,NaN,NaN,NaN,NaN
"occType","IND",70,383936.99,NaN,NaN,NaN,NaN,NaN
"occType","GOV",7,11119.00,NaN,NaN,NaN,NaN,NaN
"occupancy","RES3A",38,202282.99,NaN,NaN,NaN,NaN,NaN
"occupancy","RES3B",26,95136.00,NaN,NaN,NaN,NaN,NaN
"occupancy","RES6",6,85400.00,NaN,NaN,NaN,NaN,NaN
"occupancy","RES4",3,1236.00,NaN,NaN,NaN,NaN,NaN
"occupancy","RES3C",21,117035.01,NaN,NaN,NaN,NaN,NaN
"occupancy","RES2",6,47982.00,NaN,NaN,NaN,NaN,NaN
"occupancy","COM10",3,277.00,NaN,NaN,NaN,NaN,NaN
"occupancy","RES3D",19,160302.00,NaN,NaN,NaN,NaN,NaN
"occupancy","RES3E",13,127528.00,NaN,NaN,NaN,NaN,NaN
"occupancy","RES3F",3,36946.00,NaN,NaN,NaN,NaN,NaN
"occupancy","RES1",21,4059095.50,NaN,NaN,NaN,NaN,NaN
"occupancy","AGR1",15,14848.00,NaN,NaN,NaN,NaN,NaN
"occupancy","GOV1",5,1833.00,NaN,NaN,NaN,NaN,NaN
"occupancy","GOV2",2,9286.00,NaN,NaN,NaN,NaN,NaN
"occupancy","COM8",25,38684.00,NaN,NaN,NaN,NaN,NaN
"occupancy","COM7",19,90981.00,NaN,NaN,NaN,NaN,NaN
"occupancy","COM6",5,390474.99,NaN,NaN,NaN,NaN,NaN
"occupancy","COM5",12,35312.00,NaN,NaN,NaN,NaN,NaN
"occupancy","COM4",56,134938.00,NaN,NaN,NaN,NaN,NaN
"occupancy","COM3",31,59484.00,NaN,NaN,NaN,NaN,NaN
