AssetID,Latitude,Longitude,Vs30,Value,Vulnerability,censusTract,occType,occupancy,strType,designLevel,ExpectedLoss
"0",38.294914,-122.050643,360,174.50,"S1L-h-AGR1-DF","6095252311","AGR","AGR1","S1L","HC",NaN
"1",38.294914,-122.050643,360,174.50,"W1-h-AGR1-DF","6095252311","AGR","AGR1","W1","HC",NaN
"2",38.294914,-122.050643,360,151.19,"C2L-h-COM1-DF","6095252311","COM","COM1","C2L","HC",NaN
"3",38.294914,-122.050643,360,145.38,"RM1L-h-COM1-DF","6095252311","COM","COM1","RM1L","HC",NaN
"4",38.294914,-122.050643,360,436.13,"RM2L-h-COM1-DF","6095252311","COM","COM1","RM2L","HC",NaN
"5",38.294914,-122.050643,360,430.31,"W1-h-COM1-DF","6095252311","COM","COM1","W1","HC",NaN
"6",38.294914,-122.050643,360,2403.29,"RM2L-h-COM2-DF","6095252311","COM","COM2","RM2L","HC",NaN
"7",38.294914,-122.050643,360,1183.71,"S3-h-COM2-DF","6095252311","COM","COM2","S3","HC",NaN
"8",38.294914,-122.050643,360,190.23,"C2L-h-COM3-DF","6095252311","COM","COM3","C2L","HC",NaN
"9",38.294914,-122.050643,360,184.64,"PC1-h-COM3-DF","6095252311","COM","COM3","PC1","HC",NaN
"10",38.294914,-122.050643,360,184.64,"PC2L-h-COM3-DF","6095252311","COM","COM3","PC2L","HC",NaN
"11",38.294914,-122.050643,360,186.50,"S3-h-COM3-DF","6095252311","COM","COM3","S3","HC",NaN
"12",38.294914,-122.050643,360,1094.46,"C1L-h-COM4-DF","6095252311","COM","COM4","C1L","HC",NaN
"13",38.294914,-122.050643,360,1062.27,"PC1-h-COM4-DF","6095252311","COM","COM4","PC1","HC",NaN
"14",38.294914,-122.050643,360,1062.27,"PC2L-h-COM4-DF","6095252311","COM","COM4","PC2L","HC",NaN
"15",38.294914,-122.050643,360,1086.41,"RM1L-h-COM4-DF","6095252311","COM","COM4","RM1L","HC",NaN
"16",38.294914,-122.050643,360,3259.24,"RM2L-h-COM4-DF","6095252311","COM","COM4","RM2L","HC",NaN
"17",38.294914,-122.050643,360,1046.18,"S1L-h-COM4-DF","6095252311","COM","COM4","S1L","HC",NaN
