name,imtStr,imLevel,meanDR,covariance,covDistribution
W1-lowrise,PGA,0.05,0.0,, 
W1-lowrise,PGA,0.1,0.05,,
W1-lowrise,PGA,0.2,0.15,,
W2-midrise,SA(1.0),0.05,0.0,0.0,LOGNORMAL
W2-midrise,SA(1.0),0.1,0.04,0.02,LOGNORMAL
W2-midrise,SA(1.0),0.15,0.12,0.03,LOGNORMAL
W3-highrise,PGV,0.1,0.0,,
W3-highrise,PGV,0.2,0.06,,
W3-highrise,PGV,0.3,0.18,,
W4-lowrise,SA(1.0),0.05,0.0,0.0,BETA
W4-lowrise,SA(1.0),0.1,0.05,0.01,BETA
W4-lowrise,SA(1.0),0.2,0.12,0.02,BETA
W4-lowrise,SA(1.0),0.3,0.18,0.03,BETA
W5-midrise,PGA,0.02,0.0,,
W5-midrise,PGA,0.05,0.03,,
W5-midrise,PGA,0.1,0.08,,
